koi_period,pl_orbper,koi_prad,pl_rade,pl_orbeccen,st_mass,koi_steff,st_teff,koi_srad,st_rad,koi_kepmag,label
8.98581901,8.20075,1.65,2.42,0.079,0.866,4072.0,5274.0,0.57,0.841458,15.036,1.0
12.940668656,8.20075,22.94,2.42,0.079,0.866,5875.0,5274.0,0.809,0.841458,15.215,0.0
20.5452375,8.20075,2.41,2.42,0.079,0.866,5670.0,5274.0,1.264,0.841458,12.003,2.0
33.60123371,8.20075,8.46,2.42,0.079,0.866,5149.0,5274.0,0.93,0.841458,15.262,1.0
6.76652928,8.20075,1.97,2.42,0.079,0.866,5149.0,5274.0,0.93,0.841458,15.262,1.0
4.347288783,8.20075,2.36,2.42,0.079,0.866,5754.0,5274.0,1.122,0.841458,15.024,1.0
4.601811819,8.20075,2.35,2.42,0.079,0.866,4986.0,5274.0,0.833,0.841458,15.024,1.0
11.18719905,8.20075,1.55,2.42,0.079,0.866,4986.0,5274.0,0.833,0.841458,15.024,1.0
4.220965778,8.20075,2.62,2.42,0.079,0.866,3837.0,5274.0,0.517,0.841458,15.692,1.0
6.998099523,8.20075,588.66,2.42,0.079,0.866,5612.0,5274.0,0.829,0.841458,15.877,2.0
5.95489993,8.20075,2.33,2.42,0.079,0.866,4261.0,5274.0,0.633,0.841458,15.019,1.0
12.03987488,8.20075,2.18,2.42,0.079,0.866,4261.0,5274.0,0.633,0.841458,15.019,1.0
20.83762895,8.20075,1.42,2.42,0.079,0.866,4261.0,5274.0,0.633,0.841458,15.019,1.0
8.8111022,8.20075,63.66,2.42,0.079,0.866,6200.0,5274.0,2.404,0.841458,12.759,2.0
23.58917143,8.20075,3.16,2.42,0.079,0.866,4919.0,5274.0,0.721,0.841458,15.316,1.0
6.481633073,8.20075,2.54,2.42,0.079,0.866,5945.0,5274.0,1.302,0.841458,12.365,1.0
10.37168928,8.20075,3.2,2.42,0.079,0.866,5121.0,5274.0,0.888,0.841458,15.193,1.0
3.96996298,8.20075,1.78,2.42,0.079,0.866,5121.0,5274.0,0.888,0.841458,15.193,1.0
4.40841331,8.20075,2.66,2.42,0.079,0.866,6007.0,5274.0,0.961,0.841458,15.662,1.0
7.9426176,8.20075,4.68,2.42,0.079,0.866,5811.0,5274.0,0.926,0.841458,15.26,2.0
226.8904775,8.20075,4.53,2.42,0.079,0.866,5067.0,5274.0,0.75,0.841458,15.859,1.0
1.956811408,8.20075,21.58,2.42,0.079,0.866,5209.0,5274.0,0.603,0.841458,15.533,2.0
2.688899233,8.20075,12.04,2.42,0.079,0.866,4820.0,5274.0,0.639,0.841458,15.766,0.0
9.439459486,8.20075,4.16,2.42,0.079,0.866,5097.0,5274.0,0.779,0.841458,15.067,1.0
11.523067458,8.20075,3.13,2.42,0.079,0.866,5644.0,5274.0,1.411,0.841458,12.346,1.0
20.47748843,8.20075,2.92,2.42,0.079,0.866,5097.0,5274.0,0.779,0.841458,15.067,1.0
3.336123113,8.20075,1.74,2.42,0.079,0.866,5097.0,5274.0,0.779,0.841458,15.067,1.0
8.01078456,8.20075,1.72,2.42,0.079,0.866,3713.0,5274.0,0.47,0.841458,15.847,1.0
